tmdb_id,imdb_id,original_language,original_title,runtime
11780,tt0114287,en,Rob Roy,139
34996,tt0112288,en,The Addiction,82
414,tt0112462,en,Batman Forever,121
649,tt0061395,fr,Belle de jour,101
1873,tt0112495,en,Beyond Rangoon,100
5894,tt0112541,en,Blue in the Face,83
1775,tt0109370,en,Canadian Bacon,91
8839,tt0112642,en,Casper,100
20649,tt0112688,en,Clockers,128
10329,tt0112715,en,Congo,109
8963,tt0112740,en,Crimson Tide,116
26564,tt0109508,en,Crumb,119
8068,tt0112851,en,Desperado,104
8512,tt0112857,en,Devil in a Blue Dress,102
1572,tt0112864,en,Die Hard: With a Vengeance,128
13552,tt0112887,en,The Doom Generation,80
259209,tt0113044,en,Feast of July,116
6520,tt0113071,en,First Knight,134
9073,tt0113114,en,Free Willy 2 - The Adventure Home,95
10428,tt0113243,en,Hackers,107
17447,tt0113464,en,Jeffrey,92
9886,tt0113481,en,Johnny Mnemonic,97
9482,tt0113492,en,Judge Dredd,96
19326,tt0113500,en,Jury Duty,88
9344,tt0113540,en,Kids,91
9071,tt0113677,en,Living in Oblivion,89
8973,tt0113690,en,Lord of Illusions,119
15730,tt0107447,en,Love & Human Remains,100
47608,tt0113729,en,Mad Love,95
2293,tt0113749,en,Mallrats,94
9070,tt0113820,en,Mighty Morphin Power Rangers: The Movie,92
68274,tt0113851,en,Moonlight and Valentino,100
48787,tt0110604,en,Mute Witness,95
34574,tt0110620,en,Nadja,93
1642,tt0113957,en,The Net,114
11472,tt0113986,en,Nine Months,103
36196,tt0114095,en,Party Girl,94
11980,tt0114194,en,The Prophecy,98
58372,tt0114241,en,Reckless,91
32646,tt0114323,en,Safe,119
10533,tt0114345,en,The Scarlet Letter,135
56088,tt0114435,en,The Show,93
10802,tt0114436,en,Showgirls,128
10149,tt0114478,en,Smoke,112
18402,tt0114496,en,Something to Talk About,106
9348,tt0114508,en,Species,108
139408,tt0114534,en,The Stars Fell on Henrietta,109
281,tt0114558,en,Strange Days,145
5967,tt0058450,fr,Les parapluies de Cherbourg,91
79593,tt0114666,en,The Tie That Binds,99
47939,tt0114663,en,Three Wishes,115
36834,tt0114702,en,Total Eclipse,111
9090,tt0114682,en,"To Wong Foo, Thanks for Everything! Julie Newmar",105
3512,tt0114781,en,Under Siege 2: Dark Territory,100
52856,tt0114798,en,Unstrung Heroes,93
77350,tt0114805,en,Unzipped,73
9560,tt0114887,en,A Walk in the Clouds,103
9804,tt0114898,en,Waterworld,135
31611,tt0114928,en,White Man's Burden,89
65796,tt0114938,en,Wild Bill,98
49805,tt0109340,en,The Browning Version,97
26258,tt0112602,en,Bushwhacked,90
50797,tt0111579,ru,Утомлённые солнцем,135
19155,tt0110882,en,Before the Rain,113
76,tt0112471,en,Before Sunrise,105
11017,tt0112508,en,Billy Madison,89
37141,tt0112438,en,The Babysitter,90
9382,tt0112571,en,Boys on the Side,115
6715,tt0112757,en,The Cure,97
18256,tt0112643,en,Castle Freak,95
22625,tt0112679,en,Circle of Friends,103
2292,tt0109445,en,Clerks,92
1909,tt0112883,en,Don Juan DeMarco,97
8984,tt0109635,en,Disclosure,123
61813,tt0112899,en,Dream Man,0
4954,tt0109676,en,Drop Zone,101
62488,tt0112854,it,Destiny Turns on the Radio,0
10531,tt0109579,en,Death and the Maiden,103
11929,tt0109642,en,Dolores Claiborne,132
8467,tt0109686,en,Dumb and Dumber,107
10451,tt0111797,zh,飲食男女,123
20156,tt0109759,en,Exotica,103
18395,tt0109758,en,Exit to Eden,113
522,tt0109707,en,Ed Wood,127
397,tt0113117,en,French Kiss,111
10525,tt0113097,en,Forget Paris,101
27985,tt0113028,en,Far from Home: The Adventures of Yellow Dog,87
15789,tt0113198,en,A Goofy Movie,78
27303,tt0113303,en,Hideaway,103
21183,tt0113089,en,Fluke,96
10954,tt0109771,fr,Farinelli,111
47867,tt0113199,en,Gordy,90
43475,tt0113234,en,Gumby: The Movie,77
72031,tt0109906,en,The Glass Shield,109
14275,tt0110057,en,Hoop Dreams,171
1024,tt0110005,en,Heavenly Creatures,99
17207,tt0110066,en,Houseguest,113
13701,tt0110116,en,Immortal Beloved,121
14819,tt0110006,en,Heavyweights,100
32631,tt0113360,en,The Hunted,106
11777,tt0110099,en,I.Q.,100
628,tt0110148,en,Interview with the Vampire,123
87729,tt0113463,en,Jefferson in Paris,139
18713,tt0110189,en,The Jerky Boys,82
6280,tt0110216,en,Junior,109
9061,tt0113501,en,Just Cause,102
37108,tt0113538,en,A Kid in King Arthur's Court,89
6071,tt0113552,en,Kiss of Death,101
11,tt0076759,en,Star Wars,121
9587,tt0110367,en,Little Women,115
19101,tt0113670,en,A Little Princess,97
49980,tt0110296,en,Ladybird Ladybird,101
17961,tt0109731,fr,L'Enfer,100
18183,tt0103994,es,Como agua para chocolate,105
4476,tt0110322,en,Legends of the Fall,133
11008,tt0110443,en,Major Payne,95
47504,tt0110365,en,Little Odessa,98
32325,tt0107566,en,Mi Vida Loca,92
43742,tt0110391,en,Love Affair,108
28313,tt0113691,en,Losing Isaiah,106
11318,tt0110428,en,The Madness of King George,107
3036,tt0109836,en,Frankenstein,123
40490,tt0113755,en,Man of the House,96
24070,tt0110538,en,Mixed Nuts,97
8986,tt0110516,en,Milk Money,108
10510,tt0110527,en,Miracle on 34th Street,114
17402,tt0113808,en,Miami Rhapsody,95
38722,tt0113896,en,My Family,128
8438,tt0113870,en,Murder in the First,122
11593,tt0110684,en,Nobody's Fool,110
1945,tt0110638,en,Nell,112
39310,tt0113967,en,New Jersey Drive,98
109560,tt0117169,en,New York Cop,93
56428,tt0106402,en,Beyond Bedlam,89
63105,tt0113948,en,Nemesis 2 - Nebula,83
131957,tt0110671,en,Nina Takes a Lover,100
241,tt0110632,en,Natural Born Killers,119
9058,tt0110737,en,Only You,115
527,tt0110729,en,Once Were Warriors,99
18220,tt0114151,en,Poison Ivy II: Lily,106
6950,tt0114069,en,Outbreak,127
101,tt0110413,fr,Léon,110
63020,tt0114113,en,The Perez Family,113
2307,tt0114210,en,A Pyromaniac's Love Story,94
680,tt0110912,en,Pulp Fiction,154
41478,tt0114084,en,Panther,124
25296,tt0105652,zh,Pushing Hands,105
40156,tt0110889,en,Priest,98
11450,tt0110932,en,Quiz Show,133
30304,tt0114129,en,Picture Bride,94
10452,tt0110963,fr,La Reine Margot,162
12106,tt0114214,en,The Quick and the Dead,107
161495,tt0114296,sv,Roommates,108
3586,tt0110907,en,Prêt-à-Porter,133
110,tt0111495,fr,Trois couleurs : Rouge,99
108,tt0108394,fr,Trois couleurs : Bleu,98
109,tt0111507,fr,Trois couleurs : Blanc,91
159185,tt0110769,zh,Pao Da Shuang Deng,111
36357,tt0114268,en,Rent-a-Kid,85
92769,tt0110965,en,Relative Fear,90
28033,tt0114571,en,Stuart Saves His Family,95
22586,tt0111333,en,The Swan Princess,89
14334,tt0111112,en,The Secret of Roan Inish,97
2636,tt0111255,en,The Specialist,110
2164,tt0111282,en,Stargate,121
11395,tt0111070,en,The Santa Clause,97
278,tt0111161,en,The Shawshank Redemption,142
9905,tt0111149,en,Shallow Grave,92
87078,tt0108260,en,Suture,96
12527,tt0106966,es,Fresa y chocolate,108
20306,tt0114594,en,Swimming with Sharks,101
36614,tt0111309,en,The Sum of Us,100
27993,tt0113936,en,Senior Trip,91
31439,tt0110081,zh,活着,125
9067,tt0114614,en,Tank Girl,98
9059,tt0114608,en,Tales from the Crypt: Demon Knight,92
193,tt0111280,en,Star Trek: Generations,118
25066,tt0114609,en,Tales from the Hood,98
46797,tt0111454,en,Tom & Viv,115
12122,tt0114852,en,Village of the Damned,99
11381,tt0114694,en,Tommy Boy,97
32636,tt0111590,en,Vanya on 42nd Street,119
36141,tt0114788,en,The Underneath,99
95963,tt0114888,en,The Walking Dead,88
1587,tt0108550,en,What's Eating Gilbert Grape,118
9271,tt0114857,en,Virtuosity,106
2064,tt0114924,en,While You Were Sleeping,103
19855,tt0111667,en,The War,126
60855,tt0109655,en,Double Happiness,87
236,tt0110598,en,Muriel's Wedding,106
48287,tt0112435,en,The Baby-Sitters Club,94
3049,tt0109040,en,Ace Ventura: Pet Detective,86
2759,tt0109045,en,"The Adventures of Priscilla, Queen of the Desert",104
12635,tt0106339,en,Backbeat,100
10497,tt0104779,en,Bitter Moon,139
11382,tt0109348,en,Bullets Over Broadway,98
9331,tt0109444,en,Clear and Present Danger,141
10731,tt0109446,en,The Client,119
10464,tt0109484,en,"Corrina, Corrina",115
34152,tt0109504,en,Crooklyn,115
9495,tt0109506,en,The Crow,102
29973,tt0109450,en,Cobb,128
888,tt0109813,en,The Flintstones,91
13,tt0109830,en,Forrest Gump,142
712,tt0109831,en,Four Weddings and a Funeral,117
16295,tt0113305,en,Higher Learning,127
48992,tt0110091,en,I Like It Like That,104
10879,tt0110093,en,I Love Trouble,123
10660,tt0110167,en,It Could Happen to You,101
10714,tt0110213,en,The Jungle Book,111
41647,tt0107472,en,Die Macht der Bilder: Leni Riefenstahl,180
8587,tt0110357,en,The Lion King,89
1689,tt0107426,en,Little Buddha,140
11596,tt0111686,en,New Nightmare,112
854,tt0110475,en,The Mask,101
9359,tt0110478,en,Maverick,127
23333,tt0110588,en,Mrs. Parker and the Vicious Circle,125
36593,tt0110622,en,The Naked Gun 33⅓: The Final Insult,83
12280,tt0110771,en,The Paper,112
2788,tt0110950,en,Reality Bites,99
10427,tt0105226,en,Red Rock West,98
11011,tt0110989,en,Ri¢hie Ri¢h,95
49803,tt0111054,en,Safe Passage,98
8987,tt0110997,en,The River Wild,111
1637,tt0111257,en,Speed,116
15128,tt0111256,en,Speechless,99
8831,tt0111438,en,Timecop,99
36955,tt0111503,en,True Lies,141
10449,tt0111693,en,When a Man Loves a Woman,126
10395,tt0111742,en,Wolf,125
12160,tt0111756,en,Wyatt Earp,191
40480,tt0112443,en,Bad Company,108
52038,tt0110455,en,A Man of No Importance,99
29444,tt0111048,en,S.F.W.,96
26352,tt0110399,en,A Low Down Dirty Shame,100
39953,tt0112570,en,"Boys Life: Three Stories of Love, Lust, and Liberation",91
41580,tt0109454,fr,Le colonel Chabert,110
315,tt0059170,en,"Faster, Pussycat! Kill! Kill!",83
22067,tt0110186,en,Jason's Lyric,119
18242,tt0108069,en,The Secret Adventures of Tom Thumb,61
11667,tt0111301,en,Street Fighter,102
32502,tt0112702,en,Coldblooded,92
267188,tt0112849,en,Desert Winds,97
28732,tt0113014,en,Fall Time,88
75555,tt0113043,en,The Fear,98
42981,tt0113104,en,Frank and Ollie,89
278939,tt0113173,en,Girl in the Cadillac,89
291731,tt0113319,en,Homage,97
226229,tt0113827,en,Mirage,92
203119,tt0114047,en,Open Season,97
172923,tt0112889,en,Dos Crímenes,0
316098,tt0109339,en,Brother Minister: The Assassination of Malcolm X,115
8011,tt0110027,en,Highlander III: The Sorcerer,99
171857,tt0109785,en,Federal Hill,97
2654,tt0113409,en,In the Mouth of Madness,95
18069,tt0109021,en,8 Seconds,105
19092,tt0109035,en,Above the Rim,96
2758,tt0106220,en,Addams Family Values,94
38129,tt0111804,en,Martin Lawrence: You So Crazy,84
10436,tt0106226,en,The Age of Innocence,139
13595,tt0109068,en,Airheads,92
46094,tt0109067,en,The Air Up There,107
9409,tt0106292,en,Another Stakeout,105
11853,tt0109198,en,Bad Girls,99
16771,tt0109219,en,Barcelona,100
46924,tt0106379,en,Being Human,122
11041,tt0106400,en,The Beverly Hillbillies,93
306,tt0109254,en,Beverly Hills Cop III,104
14522,tt0109279,en,Black Beauty,88
26203,tt0109297,en,Blink,106
178,tt0109303,en,Blown Away,121
19819,tt0109305,en,Blue Chips,108
57834,tt0109306,en,Blue Sky,101
4722,tt0106452,en,Body Snatchers,87
18215,tt0106471,en,Boxing Helena,107
1607,tt0106489,en,A Bronx Tale,121
26391,tt0109361,en,Cabin Boy,80
117553,tt0106505,en,Calendar Girl,90
6075,tt0106519,en,Carlito's Way,144
11310,tt0109439,en,City Slickers II: The Legend of Curly's Gold,116
18658,tt0109443,en,Clean Slate,107
9350,tt0106582,en,Cliffhanger,112
9612,tt0106598,en,Coneheads,88
2124,tt0109456,en,Color of Night,121
26261,tt0109480,en,Cops & Robbersons,93
19176,tt0109493,en,The Cowboy Way,102
49299,tt0106660,en,Dangerous Game,108
11566,tt0106673,en,Dave,110
9571,tt0106677,en,Dazed and Confused,102
9739,tt0106697,en,Demolition Man,115
24257,tt0109729,en,The Endless Summer 2,109
34444,tt0106834,en,Even Cowgirls Get the Blues,96
26141,tt0106873,en,Fatal Instinct,91
10997,tt0106332,zh,霸王别姬,171
50463,tt0109783,en,The Favor,97
10443,tt0106881,en,Fearless,122
20239,tt0106880,en,Fear of a Black Hat,88
16297,tt0111732,en,With Honors,103
18551,tt0106926,en,Flesh and Bone,126
25440,tt0111712,en,Widows' Peak,101
9024,tt0106941,en,For Love or Money,94
37233,tt0106918,en,The Firm,154
1634,tt0106965,en,Free Willy,112
13815,tt0109842,en,Fresh,114
5503,tt0106977,en,The Fugitive,130
35588,tt0107004,en,Geronimo: An American Legend,115
2087,tt0109890,en,The Getaway,115
41579,tt0109891,en,Getting Even with Dad,109
18620,tt0109913,en,Go Fish,83
41006,tt0109920,en,A Good Man in Africa,94
4916,tt0107057,en,Guilty as Sin,107
2019,tt0107076,en,Hard Target,97
31642,tt0107096,en,Heaven & Earth,140
9255,tt0107144,en,Hot Shots! Part Deux,86
26271,tt0113674,en,Live Nude Girls,95
10612,tt0112966,en,The Englishman Who Went Up a Hill But Came Down a Mountain,99
2259,tt0107151,en,The House of the Spirits,140
16097,tt0110064,en,House Party 3,100
11934,tt0110074,en,The Hudsucker Proxy,111
106143,tt0110097,en,I'll Do Anything,115
12475,tt0110123,en,In the Army Now,91
9386,tt0107206,en,In the Line of Fire,128
7984,tt0107207,en,In the Name of the Father,133
59930,tt0110137,en,The Inkwell,110
15765,tt0108551,en,What's Love Got to Do with It,118
31643,tt0110197,en,Jimmy Hollywood,112
6,tt0107286,en,Judgment Night,110
329,tt0107290,en,Jurassic Park,127
10909,tt0107302,en,Kalifornia,117
507,tt0110265,en,Killing Zoe,96
34024,tt0107322,en,King of the Hill,103
29918,tt0110305,en,Lassie,94
9593,tt0107362,en,Last Action Hero,130
42580,tt0107413,en,Life With Mikey,91
22317,tt0110353,en,Lightning Jack,98
1413,tt0107468,en,M. Butterfly,101
12121,tt0107478,en,Made in America,111
2246,tt0107497,en,Malice,107
10502,tt0107501,en,The Man without a Face,114
10440,tt0107507,en,Manhattan Murder Mystery,104
9516,tt0107554,en,Menace II Society,97
2320,tt0116253,en,Executive Decision,133
5879,tt0074102,ja,愛のコリーダ,105
83718,tt0111689,en,What Happened Was...,91
11971,tt0107616,en,Much Ado About Nothing,111
2625,tt0107611,en,Mr. Jones,114
31911,tt0107613,en,Mr. Wonderful,98
788,tt0107614,en,Mrs. Doubtfire,125
21450,tt0107653,en,Naked,131
11231,tt0110657,en,The Next Karate Kid,107
41588,tt0110649,en,The New Age,112
10447,tt0110678,en,No Escape,118
31586,tt0110687,en,North,87
9300,tt0107756,en,Orlando,93
9559,tt0107808,en,A Perfect World,138
9800,tt0107818,en,Philadelphia,125
713,tt0107822,en,The Piano,121
8291,tt0107840,en,Poetic Justice,109
18133,tt0107889,en,The Program,112
25557,tt0111003,en,The Puppet Masters,109
22588,tt0110939,en,Radioland Murders,108
10872,tt0110955,en,The Ref,97
1245,tt0107943,en,The Remains of the Day,134
11858,tt0110971,en,Renaissance Man,128
7007,tt0107969,en,Rising Sun,125
10467,tt0111001,en,The Road to Wellville,118
5550,tt0107978,en,RoboCop 3,104
8005,tt0107977,en,Robin Hood: Men in Tights,104
2088,tt0107983,en,Romeo Is Bleeding,100
10412,tt0105275,en,Romper Stomper,94
47889,tt0108000,en,Ruby in Paradise,114
14534,tt0108002,en,Rudy,114
56583,tt0108026,en,The Saint of Fort Washington,99
41878,tt0105032,fr,Les Nuits Fauves,126
424,tt0108052,en,Schindler's List,195
35233,tt0111094,en,The Scout,101
14291,tt0108065,en,Searching for Bobby Fischer,110
103413,tt0111102,en,Second Best,105
11236,tt0108071,en,The Secret Garden,102
11592,tt0111127,en,Serial Mom,95
8850,tt0111143,en,The Shadow,108
10445,tt0108101,en,Shadowlands,131
695,tt0108122,en,Short Cuts,187
43535,tt0111194,en,A Simple Twist of Fate,106
12519,tt0111201,en,Sirens,98
23210,tt0108149,en,Six Degrees of Separation,112
858,tt0108160,en,Sleepless in Seattle,105
867,tt0108162,en,Sliver,108
78,tt0083658,en,Blade Runner,117
13203,tt0108186,en,Son in Law,95
10442,tt0108174,en,So I Married an Axe Murderer,93
11074,tt0108238,en,Striking Distance,102
33367,tt0089256,en,Harem,113
9607,tt0108255,en,Super Mario Bros.,104
17585,tt0111323,en,Surviving the Game,96
9057,tt0111400,en,Terminal Velocity,102
20967,tt0108328,en,Thirty Two Short Films About Glenn Gould,93
10635,tt0111418,en,Threesome,93
9479,tt0107688,en,The Nightmare Before Christmas,76
10057,tt0108333,en,The Three Musketeers,105
11969,tt0108358,en,Tombstone,130
41590,tt0111488,en,Trial by Jury,107
319,tt0108399,en,True Romance,120
26408,tt0108515,en,The War Room,96
15139,tt0110763,en,The Pagemaster,80
161158,tt0107779,en,"Paris, France",112
218473,tt0109226,en,"The Beans of Egypt, Maine",0
85247,tt0110259,en,Killer,97
11446,tt0114906,en,Welcome to the Dollhouse,88
51980,tt0107002,en,Germinal,160
24405,tt0109403,en,Chasers,102
11655,tt0104029,en,Cronos,94
11800,tt0110623,en,Naked in New York,95
8223,tt0107315,es,Kika,117
14587,tt0106408,en,Bhaji on the Beach,100
31504,tt0110363,en,Little Big League,119
41653,tt0107349,sv,Kådisbellan,102
53185,tt0111709,en,Wide Eyed and Legless,102
95743,tt0109828,en,Foreign Student,90
23637,tt0107225,en,Io speriamo che me la cavo,100
17600,tt0111252,en,Spanking the Monkey,106
10897,tt0110366,en,The Little Rascals,82
349394,tt0106878,en,À la mode,82
21352,tt0109120,en,Andre,94
68806,tt0108059,it,La scorta,92
37345,tt0110892,en,Princess Caraboo,97
32562,tt0112651,en,The Celluloid Closet,102
47507,tt0107642,en,Métisse,94
25403,tt0109382,it,Caro diario,100
124304,tt0106678,en,De eso no se habla,106
9066,tt0112572,en,The Brady Bunch Movie,84
771,tt0099785,en,Home Alone,103
251,tt0099653,en,Ghost,127
812,tt0103639,en,Aladdin,90
280,tt0103064,en,Terminator 2: Judgment Day,137
581,tt0099348,en,Dances with Wolves,181
80350,tt0114706,en,Tough and Deadly,92
268,tt0096895,en,Batman,126
274,tt0102926,en,The Silence of the Lambs,119
408,tt0029583,en,Snow White and the Seven Dwarfs,83
10020,tt0101414,en,Beauty and the Beast,84
10895,tt0032910,en,Pinocchio,88
114,tt0100405,en,Pretty Woman,119
41043,tt0110719,ru,Окно в Париж,87
576,tt0065214,en,The Wild Bunch,145
15477,tt0110395,en,Love and a .45,101
59146,tt0111752,en,The Wooden Man's Bride,113
124472,tt0109934,en,A Great Day in Harlem,60
30528,tt0112606,en,Bye Bye Love,106
7300,tt0117247,en,One Fine Day,108
10824,tt0112625,en,Candyman: Farewell to the Flesh,93
261246,tt0106537,en,Century,112
275,tt0116282,en,Fargo,98
25059,tt0116552,en,Homeward Bound II: Lost in San Francisco,89
11827,tt0082509,en,Heavy Metal,90
8766,tt0116514,en,Hellraiser: Bloodline,86
23570,tt0117283,en,The Pallbearer,97
47333,tt0116684,en,Jane Eyre,112
54850,tt0110374,en,Loaded,91
51242,tt0070506,it,Pane e cioccolata,100
10112,tt0065421,en,The Aristocats,78
4307,tt0113083,es,La flor de mi secreto,107
46029,tt0118001,en,Two Much,118
32308,tt0116165,en,Ed,94
88893,tt0102855,de,Schrei aus Stein,105
52873,tt0107471,fr,Ma saison préférée,127
123505,tt0113839,en,A Modern Affair,90
340210,tt0112712,en,Condition Red,83
44281,tt0090665,en,Asfour Stah,98
28121,tt0117891,en,A Thin Line Between Love and Hate,108
12520,tt0113613,en,The Last Supper,92
1592,tt0117381,en,Primal Fear,129
166901,tt0114305,en,Rude,89
36447,tt0115837,en,Carried Away,109
19042,tt0115509,en,All Dogs Go to Heaven 2,82
38884,tt0114671,en,Land and Freedom,109
47449,tt0112844,en,Denise Calls Up,80
36259,tt0114658,en,Theodore Rex,92
41852,tt0116275,en,A Family Thing,109
40926,tt0113122,en,Frisk,88
9099,tt0117608,en,Sgt. Bilko,90
2021,tt0113448,en,Jack & Sarah,110
61752,tt0116414,en,Girl 6,108
10988,tt0116095,en,Diabolique,107
11479,tt0111543,fr,Un indien dans la ville,90
398959,tt0117517,de,Roula - Dunkle Geheimnisse,97
12652,tt0113947,fr,Nelly & Monsieur Arnaud,106
10684,tt0115956,en,Courage Under Fire,117
954,tt0117060,en,Mission: Impossible,110
68445,tt0109028,de,Á köldum klaka,85
18989,tt0117071,en,Moll Flanders,123
10801,tt0117788,de,Das Superweib,86
54285,tt0112257,ko,삼공일 삼공이,100
8840,tt0116136,en,DragonHeart,103
124625,tt0117117,de,My Mother's Courage,93
11107,tt0116168,en,Eddie,100
16417,tt0111787,en,Yankee Zulu,100
70934,tt0112509,en,Billy's Holiday,92
10363,tt0054189,fr,Plein soleil,115
161070,tt0115591,en,August,94
10539,tt0116683,en,James and the Giant Peach,79
10543,tt0116287,en,Fear,97
18414,tt0116768,en,Kids in the Hall: Brain Candy,89
47502,tt0116269,en,Faithful,91
